task,model,condition,trial,status,typecheck,visible,hidden,hiddenSummary,costUsd,turns,wallS,isError,terminalReason,category,difficulty,maxTurns,capHit,stopHookRuns,stopHookBlocks,planNextCalls,planVerifyCalls,gitCommits,verifiedSteps,failedSteps,blockedSteps,incompleteSteps,permissionDenials
unmounted-routes-file,claude-sonnet-5,shipped,1,PASS,pass,pass,pass,3 pass 0 fail,0.4731921,15,39,false,completed,bug,M,,false,,0,0,0,0,0,0,0,0,1
unmounted-routes-file,claude-haiku-4-5-20251001,shipped,2,PASS,pass,pass,pass,3 pass 0 fail,0.1188594,10,42,false,completed,bug,M,,false,,0,0,0,0,0,0,0,0,0
unmounted-routes-file,claude-opus-5,shipped,3,PASS,pass,pass,pass,3 pass 0 fail,0.7064514999999999,16,89,false,completed,bug,M,,false,,0,0,0,0,0,0,0,0,0
unmounted-routes-file,claude-haiku-4-5-20251001,shipped,3,PASS,pass,pass,pass,3 pass 0 fail,0.19466850000000002,20,80,false,completed,bug,M,,false,,0,0,0,0,0,0,0,0,0
unmounted-routes-file,claude-opus-5,bare,1,PASS,pass,pass,pass,3 pass 0 fail,0.765844,24,65,false,completed,bug,M,,false,,0,0,0,0,0,0,0,0,0
unmounted-routes-file,claude-opus-5,shipped,2,PASS,pass,pass,pass,3 pass 0 fail,1.0083320000000002,21,75,false,completed,bug,M,,false,,0,0,0,0,0,0,0,0,0
typed-form-register,claude-haiku-4-5-20251001,shipped,1,PASS,pass,pass,pass,9 pass 0 fail,0.48125159999999995,51,175,false,completed,feat,M,,false,,0,0,0,0,0,0,0,0,3
typed-form-register,claude-opus-5,bare,3,PASS,pass,pass,pass,9 pass 0 fail,3.1895065,69,349,false,completed,feat,M,,false,,0,0,0,0,0,0,0,0,1
typed-form-register,claude-opus-5,shipped,1,PASS,pass,pass,pass,9 pass 0 fail,3.375476500000001,57,274,false,completed,feat,M,,false,,0,0,0,0,0,0,0,0,4
typed-form-register,claude-opus-5,bare,2,PASS,pass,pass,pass,9 pass 0 fail,2.2435170000000006,49,196,false,completed,feat,M,,false,,0,0,0,0,0,0,0,0,1
typed-form-register,claude-haiku-4-5-20251001,bare,2,PASS,pass,pass,pass,9 pass 0 fail,0.3330760000000001,40,157,false,completed,feat,M,,false,,0,0,0,0,0,0,0,0,2
typed-form-register,claude-sonnet-5,bare,2,PASS,pass,pass,pass,9 pass 0 fail,2.1099541,70,245,false,completed,feat,M,,false,,0,0,0,0,0,0,0,0,4
typed-form-register,claude-sonnet-5,shipped,3,PASS,pass,pass,pass,9 pass 0 fail,1.5378393000000001,45,181,false,completed,feat,M,,false,,0,0,0,0,0,0,0,0,3
typed-form-register,claude-haiku-4-5-20251001,bare,3,PASS,pass,pass,pass,9 pass 0 fail,0.3225970000000001,38,134,false,completed,feat,M,,false,,0,0,0,0,0,0,0,0,2
typed-form-register,claude-sonnet-5,bare,3,PASS,pass,pass,pass,9 pass 0 fail,2.0895825999999995,68,266,false,completed,feat,M,,false,,0,0,0,0,0,0,0,0,1
typed-form-register,claude-sonnet-5,shipped,2,PASS,pass,pass,pass,9 pass 0 fail,1.8326855999999998,47,206,false,completed,feat,M,,false,,0,0,0,0,0,0,0,0,4
typed-form-register,claude-haiku-4-5-20251001,bare,1,FAIL,fail,pass,fail,7 pass 2 fail,0.4911573000000001,54,266,false,completed,feat,M,,false,,0,0,0,0,0,0,0,0,0
typed-form-register,claude-sonnet-5,bare,1,PASS,pass,pass,pass,9 pass 0 fail,2.8045197000000006,66,266,false,completed,feat,M,,false,,0,0,0,0,0,0,0,0,4
typed-form-register,claude-sonnet-5,shipped,1,PASS,pass,pass,pass,9 pass 0 fail,1.6743222,42,163,false,completed,feat,M,,false,,0,0,0,0,0,0,0,0,1
typed-form-register,claude-haiku-4-5-20251001,shipped,2,PASS,pass,pass,pass,9 pass 0 fail,0.37440270000000014,41,171,false,completed,feat,M,,false,,0,0,0,0,0,0,0,0,2
typed-form-register,claude-opus-5,shipped,3,PASS,pass,pass,pass,9 pass 0 fail,3.058582999999999,64,294,false,completed,feat,M,,false,,0,0,0,0,0,0,0,0,6
